,0,1,2
104,"[19.094932816666667, 72.86966843333333]",[0.91088726],"[[11, 6.38389940727265, 587257.4545454546]]"
105,"[19.11964229333333, 72.85723721000001]",[0.79716225],"[[13, 7.554633786923147, 624898.6153846154]]"
106,"[19.062046323333334, 72.87673196666667]",[0.90146078],"[[12, 6.6686966341668565, 573003.0833333333]]"
107,"[19.09904204333333, 72.85924931000001]",[0.9396853],"[[11, 6.211415397272615, 587257.4545454546]]"
108,"[19.0848109, 72.85579606666666]",[0.95535141],"[[13, 6.708067525384233, 562606.6923076923]]"
109,"[19.072490273333333, 72.86326741666666]",[0.95423511],"[[13, 6.71836539384581, 562606.6923076923]]"
110,"[19.08477651666667, 72.85821598333332]",[0.94886637],"[[13, 6.768586717691985, 562606.6923076923]]"
111,"[19.109485993333333, 72.84578476]",[0.87389233],"[[12, 6.782867379999872, 619371.1666666666]]"
112,"[19.083796583333335, 72.852052]",[0.97090263],"[[13, 6.568858298461477, 562606.6923076923]]"
113,"[19.071475956666667, 72.85952335]",[0.9718186],"[[13, 6.560864505384592, 562606.6923076923]]"
114,"[19.0837622, 72.85447191666667]",[0.96404309],"[[13, 6.629377490769078, 562606.6923076923]]"
115,"[19.108471676666667, 72.84204069333333]",[0.86092227],"[[12, 6.95294595833341, 619371.1666666666]]"
116,"[19.060153206666666, 72.86867905]",[0.9480638],"[[12, 6.345703777499903, 573003.0833333333]]"
117,"[19.097148926666666, 72.85119639333332]",[0.96464168],"[[11, 6.072844342727035, 587257.4545454546]]"
118,"[19.080719073333334, 72.86908686666666]",[0.98785775],"[[11, 5.94892548999991, 587257.4545454546]]"
119,"[19.093005316666666, 72.86403543333333]",[0.94967832],"[[11, 6.155022452727079, 587257.4545454546]]"
120,"[19.117714793333334, 72.85160420999999]",[0.780389],"[[13, 7.367580116153522, 624898.6153846154]]"
121,"[19.060118823333337, 72.87109896666666]",[0.9338831],"[[12, 6.435240694166605, 573003.0833333333]]"
122,"[19.0848283, 72.85866774333333]",[0.94741547],"[[13, 6.78236947384594, 562606.6923076923]]"
123,"[19.097114543333333, 72.85361630999999]",[0.96034194],"[[11, 6.096222624545251, 587257.4545454546]]"
124,"[19.1430979, 72.86773506666667]",[0.74105433],"[[12, 7.76297450166668, 647914.5]]"
125,"[19.11218643333333, 72.89361786666666]",[0.83174898],"[[10, 7.389934112999476, 628927.3999999999]]"
126,"[19.130777273333337, 72.87520641666667]",[0.79248722],"[[12, 7.865626592500146, 616019.9166666667]]"
127,"[19.099865806666667, 72.90108921666666]",[0.75995768],"[[10, 7.937978112999497, 628927.3999999999]]"
128,"[19.14306351666667, 72.87015498333334]",[0.77399432],"[[12, 7.821906375000135, 626930.1666666667]]"
129,"[19.11215205, 72.89603778333333]",[0.81083399],"[[10, 7.55110056299954, 628927.3999999999]]"
130,"[19.167772993333333, 72.85772376]",[0.91264254],"[[9, 7.051521337777838, 625726.7777777778]]"
131,"[19.136861526666667, 72.88360655999999]",[0.80104901],"[[12, 8.214052262499738, 595035.5833333335]]"
132,"[19.1733609, 72.84260686]",[0.91499394],"[[8, 6.79939435499976, 606665.25]]"
133,"[19.181347916666667, 72.85003594333334]",[0.92452554],"[[8, 6.641187350000141, 606665.25]]"
134,"[19.150436449999997, 72.87591874333333]",[0.77460718],"[[11, 7.611261860000024, 631120.5454545455]]"
135,"[19.18478096666667, 72.85705013333333]",[0.91887619],"[[8, 6.73645448750019, 606665.25]]"
136,"[19.153869500000003, 72.88293293333334]",[0.73858351],"[[11, 7.955582581818424, 631120.5454545455]]"
137,"[19.161856516666667, 72.89036201666666]",[0.69033265],"[[11, 8.682257603635847, 631120.5454545455]]"
138,"[19.112979366666668, 72.86765466666667]",[0.87967425],"[[12, 7.231215219166715, 595921.6666666666]]"
139,"[19.142083583333335, 72.863991]",[0.72694462],"[[12, 7.648866501666635, 647914.5]]"
140,"[19.11117211666667, 72.88987379999999]",[0.86379196],"[[10, 7.1405792729992745, 628927.3999999999]]"
141,"[19.10065874, 72.87512601666667]",[0.88894691],"[[12, 7.141503600833416, 595921.6666666666]]"
142,"[19.112944983333332, 72.87007458333333]",[0.87528898],"[[12, 7.275347585833349, 595921.6666666666]]"
143,"[19.151229383333334, 72.84995554333334]",[0.75763181],"[[12, 7.903490943333203, 647914.5]]"
144,"[19.154662433333332, 72.85696973333334]",[0.82826023],"[[13, 8.371341361538255, 623474.6153846154]]"
145,"[19.16264945, 72.86439881666668]",[0.75302619],"[[11, 7.815423958181863, 631120.5454545455]]"
146,"[19.131737983333334, 72.89028161666668]",[0.87286284],"[[9, 7.0586003011119764, 606291.7777777779]]"
147,"[19.129762956666667, 72.87146235]",[0.79259225],"[[11, 7.344495694545488, 634381.6363636365]]"
148,"[19.098851489999998, 72.89734514999999]",[0.78924373],"[[11, 8.05519098818129, 602424.1818181819]]"
149,"[19.142049200000002, 72.86641091666667]",[0.73249325],"[[12, 7.692998868333335, 647914.5]]"
150,"[19.111137733333333, 72.89229371666666]",[0.8431058],"[[10, 7.301745722999336, 628927.3999999999]]"
151,"[19.172346583333333, 72.83886279333333]",[0.89193016],"[[7, 6.34007162428563, 646160.8571428572]]"
152,"[19.1803336, 72.84629187666667]",[0.92175283],"[[8, 6.688529127500029, 606665.25]]"
153,"[19.149422133333335, 72.87217467666666]",[0.77970989],"[[11, 7.563245446363675, 631120.5454545455]]"
154,"[19.18376665, 72.85330606666666]",[0.9205741],"[[8, 6.708307200000114, 606665.25]]"
155,"[19.152855183333333, 72.87918886666667]",[0.75922293],"[[11, 7.756442022727334, 631120.5454545455]]"
156,"[19.1608422, 72.88661795]",[0.70111349],"[[11, 8.387084217273022, 631120.5454545455]]"
157,"[19.120415233333336, 72.89943731666666]",[0.80146562],"[[10, 7.779077320999933, 603746.2]]"
158,"[19.08752874, 72.90650085]",[0.74991758],"[[10, 8.19932924100001, 618881.6]]"
159,"[19.12452446, 72.88901819333334]",[0.82519013],"[[10, 7.393913167000564, 603746.2]]"
160,"[19.108094606666665, 72.90690866666667]",[0.77842164],"[[10, 8.379923873000077, 603746.2]]"
161,"[19.12071168, 72.90837355333333]",[0.8140599],"[[9, 7.82774906555572, 606291.7777777779]]"
162,"[19.12038085, 72.90185723333333]",[0.84403392],"[[9, 7.421829095555548, 606291.7777777779]]"
163,"[19.132997923333335, 72.90332212]",[0.82564265],"[[9, 7.667774344444508, 606291.7777777779]]"
164,"[19.1815897, 72.84842631]",[0.92331364],"[[8, 6.662025472500291, 606665.25]]"
165,"[19.189576716666668, 72.85585539333333]",[0.9105296],"[[8, 6.869536550000177, 606665.25]]"
166,"[19.171282323333333, 72.88320308]",[0.69624684],"[[11, 8.471189119091068, 631120.5454545455]]"
167,"[19.193009766666666, 72.86286958333334]",[0.89908762],"[[8, 7.039782337500348, 606665.25]]"
168,"[19.17471537333333, 72.89021727000001]",[0.71617768],"[[11, 9.061305886364288, 631120.5454545455]]"
169,"[19.18270239, 72.89764635333334]",[0.74896511],"[[8, 8.796645151250596, 605483.625]]"
170,"[19.151790923333333, 72.92352915333333]",[0.75094269],"[[7, 8.534187587143075, 609195.142857143]]"
171,"[19.124490076666667, 72.89143811000001]",[0.81784454],"[[10, 7.500594157000625, 603746.2]]"
172,"[19.193685943333335, 72.84543627000001]",[0.90265016],"[[7, 6.191791745714019, 646160.8571428572]]"
173,"[19.17539155, 72.87278395666668]",[0.71168819],"[[11, 8.244151703636641, 631120.5454545455]]"
174,"[19.1788246, 72.87979814666666]",[0.69137805],"[[11, 8.600511418181432, 631120.5454545455]]"
175,"[19.174194543333332, 72.88576234333334]",[0.69060186],"[[11, 8.730859121818776, 631120.5454545455]]"
176,"[19.186811616666667, 72.88722723000001]",[0.73541071],"[[10, 9.10164198800063, 616410.7]]"
177,"[19.155900149999997, 72.91311003]",[0.67039579],"[[8, 8.773820729999953, 630323.125]]"
178,"[18.984732975555556, 72.83596932444443]",[0.9171294],"[[11, 5.649194936969784, 386933.4545454546]]"
179,"[18.987195364444446, 72.83556914666666]",[0.92158464],"[[11, 5.620309036969774, 386933.4545454546]]"
180,"[18.986496775555555, 72.83439256888887]",[0.92234002],"[[11, 5.6154856945454945, 386933.4545454546]]"
181,"[18.990781864444443, 72.8359657688889]",[0.92668513],"[[11, 5.588120270303317, 386933.4545454546]]"
182,"[18.985032764444444, 72.83588177333333]",[0.91772524],"[[11, 5.6452863242425515, 386933.4545454546]]"
183,"[18.98555818666667, 72.83639740666666]",[0.91774032],"[[11, 5.645187545454673, 386933.4545454546]]"
184,"[18.986796564444447, 72.83430501777777]",[0.92295448],"[[11, 5.611577081818226, 386933.4545454546]]"
185,"[18.987321986666668, 72.8348206511111]",[0.92297004],"[[11, 5.611478303030383, 386933.4545454546]]"
186,"[18.991607075555553, 72.83639385111111]",[0.92732969],"[[11, 5.5841128787880985, 386933.4545454546]]"
187,"[18.986838858888888, 72.83413757666666]",[0.92328807],"[[11, 5.609460659394104, 386933.4545454546]]"
188,"[18.98940043, 72.83419923888889]",[0.92731013],"[[11, 5.584234306060763, 386933.4545454546]]"
189,"[18.983030133333333, 72.83473415777779]",[0.91641296],"[[11, 5.653914208485146, 386933.4545454546]]"
190,"[18.983912061111113, 72.8366813611111]",[0.9147934],"[[11, 5.664663807272831, 386933.4545454546]]"
191,"[18.983555555555554, 72.83524979111111]",[0.91642792],"[[11, 5.653815429697161, 386933.4545454546]]"
192,"[18.986374450000003, 72.83628118333333]",[0.91918398],"[[11, 5.63577790727282, 386933.4545454546]]"
193,"[18.98996095, 72.83667780555555]",[0.92421669],"[[11, 5.6035891406062195, 386933.4545454546]]"
194,"[18.98421185, 72.83659381]",[0.91538028],"[[11, 5.660755194545597, 386933.4545454546]]"
195,"[18.984737272222223, 72.83710944333333]",[0.91539514],"[[11, 5.660656415757755, 386933.4545454546]]"
196,"[18.986501072222225, 72.83553268777779]",[0.92055033],"[[11, 5.626947173333572, 386933.4545454546]]"
197,"[18.990786161111114, 72.83710588777778]",[0.92485314],"[[11, 5.599581749091108, 386933.4545454546]]"
198,"[18.989318450000003, 72.8348001388889]",[0.92620317],"[[11, 5.591125186060828, 386933.4545454546]]"
199,"[18.987199661111116, 72.83670926555556]",[0.91980266],"[[11, 5.631770515757709, 386933.4545454546]]"
200,"[18.986017944444445, 72.83484961333335]",[0.92086406],"[[11, 5.624929529697294, 386933.4545454546]]"
201,"[18.989079022222224, 72.83473060222224]",[0.92592873],"[[11, 5.592839541818499, 386933.4545454546]]"
202,"[18.988961944444444, 72.8333685688889]",[0.92794863],"[[11, 5.580276808485158, 386933.4545454546]]"
203,"[18.988579515555557, 72.83491127555556]",[0.92483383],"[[11, 5.599703176363809, 386933.4545454546]]"
204,"[18.99302202777778, 72.83655879444444]",[0.92937188],"[[11, 5.571499152727425, 386933.4545454546]]"
205,"[18.99384723888889, 72.83698687666667]",[0.95530612],"[[12, 6.140564143055761, 389192.4166666667]]"
206,"[18.984793933333332, 72.83315740222223]",[0.92160091],"[[11, 5.6202049660608555, 386933.4545454546]]"
207,"[18.993547449999998, 72.83707442777778]",[0.9543984],"[[12, 6.146110237500264, 389192.4166666667]]"
208,"[18.99437266111111, 72.83750251]",[0.95692151],"[[12, 6.130843831944667, 389192.4166666667]]"
209,"[18.985319355555557, 72.83367303555555]",[0.92161635],"[[11, 5.620106187272834, 386933.4545454546]]"
210,"[18.988263355555556, 72.83219199111112]",[0.92872951],"[[11, 5.575453466060843, 386933.4545454546]]"
211,"[18.987880926666666, 72.83373469777779]",[0.92560261],"[[11, 5.594879833939672, 386933.4545454546]]"
212,"[18.99290495, 72.8351967611111]",[0.93142548],"[[11, 5.558936419394084, 386933.4545454546]]"
213,"[18.989445072222225, 72.83405164333334]",[0.92762286],"[[11, 5.582294452121437, 386933.4545454546]]"
214,"[18.993730161111113, 72.83562484333333]",[0.9320846],"[[11, 5.554929027878974, 386933.4545454546]]"
215,"[18.991523515555556, 72.83343023111111]",[0.9320646],"[[11, 5.555050455151672, 386933.4545454546]]"
216,"[18.992608861111112, 72.83907926555555]",[0.94897918],"[[12, 6.180633539722277, 389192.4166666667]]"
217,"[18.989604444444442, 72.83524623555557]",[0.92594453],"[[11, 5.592740763030694, 386933.4545454546]]"
218,"[18.99388953333333, 72.83681943555557]",[0.955435],"[[12, 6.139781695833604, 389192.4166666667]]"
219,"[18.99266552222222, 72.83512722444446]",[0.93114411],"[[11, 5.560650775151898, 386933.4545454546]]"
220,"[18.99254844444444, 72.83376519111111]",[0.9332142],"[[11, 5.548088041818414, 386933.4545454546]]"
221,"[18.995231031111107, 72.83567452888889]",[0.95962706],"[[12, 6.114963986944741, 389192.4166666667]]"
222,"[18.992166015555554, 72.83530789777778]",[0.93002116],"[[11, 5.567514409697208, 386933.4545454546]]"
223,"[18.996451104444443, 72.83688109777778]",[0.96361286],"[[12, 6.092392630278028, 389192.4166666667]]"
224,"[18.99522709333333, 72.83518888666667]",[0.95961446],"[[12, 6.115036835833611, 389192.4166666667]]"
225,"[18.995752515555555, 72.83570452]",[0.96131068],"[[12, 6.1053165247224515, 389192.4166666667]]"
226,"[18.995110015555554, 72.83382685333333]",[0.93742642],"[[11, 5.522861688485072, 386933.4545454546]]"
227,"[18.98629983777778, 72.83386186888889]",[0.92286937],"[[11, 5.6121177303032095, 386933.4545454546]]"
228,"[18.983855344444446, 72.83516224]",[0.91702112],"[[11, 5.649906816969892, 386933.4545454546]]"
229,"[18.985562483333336, 72.83753752555555]",[0.91599929],"[[11, 5.656649024242501, 386933.4545454546]]"
230,"[18.988506483333335, 72.8360564811111]",[0.92288848],"[[11, 5.611996303030366, 386933.4545454546]]"
231,"[18.984380766666664, 72.83567787333334]",[0.91703614],"[[11, 5.649808038182085, 386933.4545454546]]"
232,"[18.987324766666664, 72.83419682888889]",[0.92396854],"[[11, 5.605155316969951, 386933.4545454546]]"
233,"[18.99000735333333, 72.83610616666665]",[0.92520811],"[[11, 5.597352532727366, 386933.4545454546]]"
234,"[18.986942337777776, 72.83573953555555]",[0.9209182],"[[11, 5.624581684848601, 386933.4545454546]]"
235,"[18.991227426666665, 72.83731273555556]",[0.92522983],"[[11, 5.597216260606279, 386933.4545454546]]"
236,"[18.990003415555552, 72.83562052444444]",[0.92598438],"[[11, 5.592491696969842, 386933.4545454546]]"
237,"[18.990528837777777, 72.83613615777777]",[0.92600019],"[[11, 5.592392918181964, 386933.4545454546]]"
