,Venue,Venue Latitude,Venue Longitude,Venue Category
6097,Snack in the box,19.01292767710536,72.82596179129949,Bakery
6098,The Baker's Dozen Prabhadevi,19.01256873996749,72.82527603726814,Bakery
6099,Mekong,18.994152594704243,72.82380608678424,Asian Restaurant
6272,Fenix,18.927130846689757,72.82015074655548,Japanese Restaurant
6290,Ziya,18.927116093151543,72.82016540442402,Indian Restaurant
6298,Kamling,18.933525636895716,72.82571483129949,Chinese Restaurant
6760,Cafe Irani Chai,19.039096400093342,72.8427195040113,Breakfast Spot
6778,Costa Coffee,19.050511549486465,72.82659073034685,Café
6782,Sneha Restaurant,19.037553501777513,72.84218470256754,Indian Restaurant
6785,Mamagoto,19.054876495307813,72.82839535179241,Asian Restaurant
6786,American Express Bakery,19.05479504313943,72.82677376045608,Bakery
6789,The Village Shop,19.055241156076104,72.82489878833995,Gluten-free Restaurant
6794,Elco Chat Corner,19.055762166881593,72.83321593299348,Indian Restaurant
6795,National Restaurant,19.056545673443438,72.83914131362513,Indian Restaurant
6796,Heng Bok,19.05916301268284,72.83754654651213,Korean Restaurant
6797,Elco Veg Restaurant,19.055791372778778,72.83325257128638,Snack Place
6798,Vista,19.04373786287698,72.81923790384788,Café
6888,Gomantak Restaurant,19.02305993438658,72.8422029384039,Maharashtrian Restaurant
6999,Trattoria,18.91486345896775,72.82082103851208,Italian Restaurant
7092,Maritime By San Lorenzo,19.0436961489794,72.8192626244849,Italian Restaurant
7093,Masala Bay,19.0436676161954,72.81925857935558,Indian Restaurant
7095,Mafco Farm Fair,19.039117054057122,72.8232325232796,Food Truck
7185,Kakori House,19.037635403099426,72.84214852169916,Indian Restaurant
7188,Saheb Restaurant and Bar,19.059720177704147,72.84696433105717,Indian Restaurant
7189,Jaffer Bhai's Delhi Darbar,19.041456398886584,72.8407486646235,Indian Restaurant
7193,Jai Hind,19.05606490713528,72.83488535462942,Seafood Restaurant
7194,Mama Mia,19.055767118543354,72.83452920697164,Pizza Place
7197,MIG Club - Belvedere Restaurant,19.056423299262168,72.8466120705936,Restaurant
7198,Modern Lunch Home,19.04541906032863,72.86402602636001,Seafood Restaurant
7199,Lucky Restaurant,19.05404467914935,72.8377121643924,Indian Restaurant
7353,Liberty Juice Centre,18.94245048434862,72.82647532880812,Food Truck
7354,Panchratna restaurant & bar,18.942899612037753,72.82682009073554,Indian Restaurant
7355,Om Sandwich and Chaat Stall,18.942877684432275,72.82696001490437,Sandwich Place
7853,Little Italy,18.983885279000116,72.81524072817999,Italian Restaurant
7856,McDonald's,18.98077515140672,72.82118410971161,Fast Food Restaurant
8256,Gypsy Chinese Restaurant,19.025293144971897,72.84027842964724,Chinese Restaurant
8257,Mad Over Donuts,19.20277031855243,72.96539399341235,Donut Shop
8258,Food Court,19.20250213367996,72.96568702509781,Food Court
8259,Café Verve,19.19217775466951,72.97361186599915,Café
8260,Preeti Sandwich,19.195161708778645,72.97667283237502,Sandwich Place
8263,Mamledar Misal Pav,19.19150957506183,72.97715339862295,Fast Food Restaurant
8264,Stone Oven,19.192209002422366,72.97350216183094,Italian Restaurant
8265,China Bistro,19.21955810971954,72.9703107840066,Chinese Restaurant
8268,Bombay Barbeque,19.203663689787273,72.96848800418059,BBQ Joint
8269,Sheetal Grille,19.207296815926224,72.97741413116455,Indian Restaurant
8270,Pizza Express,19.208267689516294,72.9719795460722,Pizza Place
8271,Oriental Spice,19.199093127226252,72.96465104063878,Chinese Restaurant
8274,Mad Over Donuts,19.208240236154843,72.97198747746599,Donut Shop
8276,Hotel Sai Krupa,19.19226744367026,72.97370591305948,Vegetarian / Vegan Restaurant
8277,Domino's Pizza,19.19281382349543,72.96733531643444,Pizza Place
8281,The Yellow Chilli,19.208227727048783,72.97234500536955,Indian Restaurant
8282,Sbarro,19.2087270773421,72.97188367894938,Italian Restaurant
8284,Zaffran,19.202469890939692,72.96567537510299,Indian Restaurant
8285,KFC,19.202730130952883,72.96543210476361,Fast Food Restaurant
8291,Prashant Corner,19.219399360466937,72.97023406920302,Fast Food Restaurant
8292,Coconut Lagoon,19.227320294337698,72.9702205678425,Seafood Restaurant
8293,Amantran,19.191013105570082,72.97663481736215,Indian Restaurant
8294,FishLand,19.203066682379223,72.97268699502398,Seafood Restaurant
8295,Royal Challenge,19.20095868248072,72.96455423465783,Seafood Restaurant
8296,Urban Tadka,19.20241331749143,72.96573075375106,Indian Restaurant
8297,Shiva Prasad Restaurant,19.193900153225908,72.97270868054828,Diner
8299,Viviana Food Court,19.208493741722126,72.97209127594994,Food Court
8300,McDonald's,19.212116893035585,72.98481201039789,Fast Food Restaurant
8305,Banana Leaf,19.207890613807344,72.97194711138557,Indian Restaurant
8306,Subway,19.226913732038877,72.97023139455273,Sandwich Place
8307,Oven Hot,19.227223899431706,72.97039324556961,Bakery
